id,mum,dad,p
4258,825,602,0.578
4259,NA,25,0.324
4260,64,637,0.996
4261,NA,1028,0.861
4262,1043,1306,1
4266,912,1750,1
4802,1155,1808,1
4803,1042,453,0.841
4804,3487,1543,1
4805,3487,1543,1
4829,912,1750,1
4854,1740,1187,1
4855,1605,497,1
4860,1821,1504,1
4861,2989,1710,1
4862,1717,1797,0.997
4863,1429,1886,1
4866,3002,1581,1
4867,1798,2974,0.899
4868,1559,1711,0.998
4870,1536,1199,0.998
4871,1805,1774,0.999
4872,3698,1489,1
4873,1510,1165,1
4874,1763,2980,1
4875,1857,1606,1
4876,1415,1040,0.999
4877,1503,1606,1
4878,1790,NA,0.358
4879,3003,1710,1
4880,1042,453,1
4881,1707,1604,1
4882,3086,1702,1
4883,1697,1722,1
4884,1697,1722,1
4885,1772,1729,1
4886,2963,1709,0.998
4887,1790,1731,0.79
4888,1895,1754,1
4889,1740,1187,1
4890,1510,2966,1
4891,1852,3093,1
4892,3505,1774,1
4893,845,1276,1
4894,1244,2990,0.998
4895,1419,1795,1
4896,1779,1796,1
4897,1824,1729,1
4898,869,453,0.997
4899,1782,453,1
4900,1538,1808,0.998
4901,1024,1616,1
4902,1506,1767,1
4903,1506,1499,1
4904,1854,1029,0.989
4905,1821,1504,1
4906,1193,453,0.53
4907,3507,1587,1
4908,1170,1524,1
4910,3517,1593,1
4911,3517,1593,1
4912,2963,1196,1
4913,2978,1722,1
4914,1580,1542,1
4915,2963,1196,0.99
4916,1580,1542,0.998
4917,1826,1499,0.995
4918,NA,1579,0.998
4919,1043,1682,1
4933,3453,1699,1
4934,3453,1699,1
4935,1672,1797,0.998
4936,1827,1783,1
4937,1827,1744,1
4938,1791,1509,1
4939,1532,911,0.968
4940,1501,3489,0.992
4941,1415,1040,0.988
4942,1753,1775,1
4943,3490,3087,1
4944,3648,1777,0.988
4945,1803,1802,0.998
4946,NA,1018,0.619
4947,NA,1777,0.895
4948,1437,1797,1
4949,1491,1356,1
4950,1491,1604,0.998
4951,3567,1604,1
4952,1437,1722,1
4953,1789,1610,1
4954,1672,1533,1
4955,1598,3000,1
4956,1685,1608,1
4957,2982,1610,1
4958,1172,1171,1
4959,1893,1788,1
4960,2968,1769,1
4961,1361,1698,1
4962,1760,1829,0.999
4963,2968,1769,1
4964,2959,1831,1
4965,3094,1739,1
4966,1559,1702,1
4967,1501,3489,1
4968,1503,1611,1
4969,3500,2988,0.999
4970,3487,1543,0.972
4971,1669,1897,1
4972,1155,1808,1
4973,2968,1553,0.968
4974,2968,1769,1
4999,1757,1523,1
5000,3002,1581,1
5008,1803,1566,1
5009,1778,1485,1
5071,1532,1804,0.855
5072,2985,1752,1
5073,3446,4873,1
5074,1765,3464,1
5075,1305,453,1
5076,1800,1769,1
5077,3505,1742,0.998
5078,1614,1767,1
5079,1716,1579,1
