id	dam	sire	LLRdam	LLRsire	LLRpair	OHdam	OHsire	MEpair
1535	NA	NA	NA	NA	NA	NA	NA	NA
1158	NA	881	NA	-1.35	NA	NA	0	NA
1433	1222	501	19.49	17.44	6.79	0	0	0
6850	5621	NA	18.95	NA	NA	0	NA	NA
1278	NA	1686	NA	-2.36	NA	NA	0	NA
7081	5838	5762	10.17	15.57	17.43	0	0	1
864	469	NA	0.59	NA	NA	0	NA	NA
828	NA	NA	NA	NA	NA	NA	NA	NA
6872	NA	6156	NA	11.03	NA	NA	0	NA
6676	5452	4802	12.93	6.95	2.95	0	3	3
1365	NA	NA	NA	NA	NA	NA	NA	NA
1542	1022	1196	-8.95	11.79	5.26	0	0	2
6670	3596	5292	5.06	17.13	24.91	0	0	0
6731	NA	6018	NA	21.37	NA	NA	0	NA
6314	5833	5559	-5.89	10.35	0.62	0	0	0
1548	NA	NA	NA	NA	NA	NA	NA	NA
1213	455	1212	19.5	37.65	37.42	0	0	1
1561	1386	216	9.65	5.29	23.23	0	0	0
856	1017	NA	7.47	NA	NA	0	NA	NA
1544	912	1020	5.99	17.56	4.3	0	0	4
1427	862	917	-0.67	0.27	9.84	0	0	0
667	530	637	18.47	0.85	15.22	0	0	0
826	NA	499	NA	15.4	NA	NA	2	NA
609	NA	NA	NA	NA	NA	NA	NA	NA
6650	5909	5820	30.11	25.11	21.13	0	0	0
216	NA	1686	NA	-0.39	NA	NA	0	NA
1516	1437	1279	18.09	6	17.27	0	0	0
607	NA	176	NA	-1.26	NA	NA	0	NA
1426	522	1360	7.46	12.78	29.9	0	0	0
6381	6206	1868	21.54	12.48	21.26	0	0	0
671	NA	208	NA	5.92	NA	NA	0	NA
6904	1826	5624	-0.01	-1.37	14.07	0	0	0
1508	168	1045	7.37	-27.28	7.8	0	0	0
838	297	NA	1.48	NA	NA	0	NA	NA
1410	502	NA	8.96	NA	NA	0	NA	NA
831	NA	681	NA	2.98	NA	NA	0	NA
1157	454	890	-0.82	4.1	17.15	0	0	0
1513	1402	467	5.09	-1.85	4.83	0	0	0
1560	823	499	6.68	13.69	12.06	0	0	0
863	NA	539	NA	11.44	NA	NA	0	NA
1568	663	1154	-16.46	-2.66	23.05	0	0	0
1222	927	501	3.16	12.84	27.5	0	0	0
941	543	NA	17.89	NA	NA	0	NA	NA
1205	NA	448	NA	-3.45	NA	NA	0	NA
1174	531	776	10.13	-6.95	21.36	0	0	0
1286	1048	NA	17.46	NA	NA	0	NA	NA
605	NA	176	NA	0.78	NA	NA	0	NA
1305	1177	854	20.99	16.56	25.92	0	0	0
1183	469	494	3.57	-7.26	1.19	0	0	0
531	NA	448	NA	7.8	NA	NA	0	NA
1270	561	NA	4.26	NA	NA	1	NA	NA
1507	NA	506	NA	1.93	NA	NA	0	NA
527	64	178	1.14	4.97	26.21	0	0	0
1210	930	867	1.62	6.54	24.36	0	0	0
630	297	NA	-12.56	NA	NA	3	NA	NA
1291	912	178	18.8	6.58	81.01	0	0	0
1293	NA	1279	NA	4.25	NA	NA	0	NA
1302	641	637	4.77	14.08	60.4	0	0	0
543	476	NA	-4.57	NA	NA	0	NA	NA
